adjusted_labels,cleaned_text
7,convient and comfortable breakfast gone downhill since owned by marriott
7,great location excellent value for money отрицательный отзыв отсутствует
8,very helpful staff great restaurant fabulous shower great and convenient location отрицательный отзыв отсутствует
8,staff were extremely helpful the hotel wa very close to earl court tube station on the district and piccadilly line which wa great for getting to all the place we wanted to visit breakfast wa also very good with lot of choice hard to find anything i didnt like about the property
7,the breakfast wa excellent and the location for u wa perfect the drain in the shower wouldnt drain away properly the fridge in the room wa either frozen or off there wa no inbetween
8,good location polite friendly staff very clean the bar area wa small not very comfortable closed 1000 pm on a friday night
7,comfortable very clean great location a most of london easily accessible отрицательный отзыв отсутствует
8,great location отрицательный отзыв отсутствует
6,great location close to tube restaurant and amenity breakfast ok i ordered a double bed and had paid for the previous day a we were arriving off a 13 hour flight first thing in the morning staff spent a long time discussing thing when we arrived and we were shown to a room with twin bed that had just been pushed together clearly our room from the day before had not been allocated staff tried to help but it would have been a much better experience to have preallocated the room i paid for additionally useful to know that the on site restaurant you have to pay separately apart from breakfast if you prepaid for it
8,location cleanliness great reception staff pillow were hard and flat despite having late check out housekeeping kept interrupting our sleep
8,location comfort and clean отрицательный отзыв отсутствует
6,great location friendly staff glad we got an upper floor people complained about basement room fridge barely cold
7,location cant be beat fabulous neighborhood close to everything need a quiet room they had back room that were very quiet the fridge didnt work breakfast wa excellent but only english breakfast provided we prefer a lighter continental breakfast
8,location worked great for u earl court station wa a short walk awaygot all over city on the tube nice restaurant in walking distance staff wa friendly and helpful room wa very clean had a microwave and fridge would stay here again cant really think of anything great value for the price
8,location wa great which made it easy to get around the city staff were helpful and friendly room on wa clean and tidy nothing negative really other than the room wa a bit small with our luggage however still okay and not unexpected
8,staff went above and beyond to relocate u after issue with our shower nothing wa too much trouble they offered to hold our luggage for u after we had checked out they were always courteous and considerate there wa some work happening to the door while we were there but they worked around it a best a they could it the only mini moan i can think of
8,the reception staff were very welcoming and all staff were courteous and helpful throughout our stay the room wa very clean and comfortable the breakfast room wa spacious and there wa a variety of menu choice отрицательный отзыв отсутствует
8,the staff were all lovely and very helpful the hotel wa in a lovely position and very good food we will be back thank you it wa all fabulous except we were supposed to have an upgrade but still lovely
8,handy for all amenity close to tube and bus link resturants and museum nothing very pleasant stay
7,hotel wa in a great location room were very small
6,property is overall ok clean and room wa reasonable dinner at the property is great although not cheap one of the lady at breakfast wa rude when it wa their fault we had to discipline her for it she spoilt the rest of our stay
7,nice clean hotel and most staff were very nice there wa no flexibility at check in we arrived at 230 pm and had to wait in reception until 3 pm before we could get the key for our room bathroom very small
8,very centralstaff are always pleasant and helpful well equipped and comfortable room отрицательный отзыв отсутствует
8,lovely and clean hotel close to earl court station staff wa very nice отрицательный отзыв отсутствует
7,breakfast choice wa outstanding although no cereal bowl were available when we attended for breakfast at 9 am asked for one which wa given a turin bowl but light hearted comment by staff special bowl it served it purpose another group member also had to ask for a bowl very thing wa pleasing
7,great location near earl court station warm clean comfortable room excellent value for money отрицательный отзыв отсутствует
6,quiet clean no proper wifi
7,perfect location 3 minute walk from earl court tube lot of pub and restaurant nearby and a supermarket large comfy bed in generous room quiet too dated decor and tired carpet
8,положительный отзыв отсутствует renovation work noise
7,location near tube but short walk to kensington отрицательный отзыв отсутствует
8,the air conditioning in the room and also the fridge staff were very helpful and attentive breakfast wa good but not included in the price of the room comfy bed and room wa very clean instant coffee and no coffee machine the room wa a bit pricey considering breakfast wasnt included since we booked i saw it advertised for a cheaper price on bookingcom which wa a bit annoying
7,location staff amazing breakfast wa average breakfast
6,this hotel is well located close to earl court tube station the staff were very good the room wa comfortable but somewhat dated and furniture not well maintained
8,location and friendly staff отрицательный отзыв отсутствует
6,well located close to earl court tube but very much a tourist zone all just a bit plain could do with an update
8,the buffet english breakfast wa excellent with a varied choice the hotel wa close to earl court tube station and 20 minute walk to all the museum we booked our twin room in january 2024 and were disappointed that the room we chose on bookingcom wa not the sameour room wa very small but wa adequate for our 2 day stay
8,location wa perfect a we were attending a festival in hyde park a short walk to kensington high street if you needed a few shop takeaway or pub the hotel wa clean comfortable and the staff were very welcomingfriendly if i had a minor negative it would be that the carpet which lead to the room need replacing
7,good location allowed u to check in on arrival although it wa earlier than published check in time отрицательный отзыв отсутствует
7,location for the purpose of the visit overpriced
8,excellent front desk service responded immediately to request for item to my room very friendly staff отрицательный отзыв отсутствует
8,service is amazing no laundry
7,clean room lovely shower tasty breakfast helpful staff distance and route to room from reception wa a challenge for a twonight stay had to go via staff route basement door open which felt strange
7,the location wa ideal for travelling about london but also for wimbledon the underground station is a short flat walk away of approx 57 min there are plenty of restaurant shop and bar nearby but the hotel is in a quiet street within a safe neighbourhood room wa a decent size and fine for a base breakfast wa ok a buffet wa sparse but in fairness a local bar that we tried on the 2 nd day wa less value for moneyroom size ok but not one if you wanted to stay for a long time in it
6,breakfast wa ok staff friendly helpful room needed updating breakfast could be warmer
6,i wa upgraded to a bigger room which wa extremely comfortable the bed wa perfect to reset for the next business day if youre travelling for work the hotel had all of the amenity and space for ironing etc and the perfect desk to shoot work out before the day the location is great to jump onto the picadilly district or circle line if you are heading into town or to heathrow the bath plug wa slightly broken however the shower wa perfect
6,room spacious and clean nice location breakfast wasnt great not much choice
8,location friendly staff breakfast staff wa very friendly but choice of bread yoghurt can be better
8,location comfortable spacious room clean отрицательный отзыв отсутствует
8,the reception staff were very friendly and helpful the hotel wa 2 min from earl court tube station so excellent location for getting around london the bed were super comfy отрицательный отзыв отсутствует
8,location early checkin and helpful staff nothing in particular
7,excellent location отрицательный отзыв отсутствует
8,for our need the location could not have been better we were going to the tennis the breakfast wa good value for what we paid the very posh wash basin in the bathroom not practical water splash easily around
7,great location clean reception staff not friendly or welcoming
8,location exceptionally friendly staff room had some type of buzzing noisekind of got use to it
8,location near underground and also nice walk to hyde park very comfortable room air con didnt go below 19 degree so room pretty hot
8,central location a big thank you to housekeeping a they decorated our bed for our wedding anniversary not enough staff on at breakfast a lot of guest they were very rushed
7,lovely hotel in a quiet location close to underground breakfast wa average selection wa nice but wa sometimes a bit cold
7,the property wa clean with easy access to underground to and from heathrow airport the breakfast wa not a expected and lack component taking into consideration religion diversity like all were pork containing and no beef or chicken
8,great location close to earl court tube station the bed wa comfortable and the room had a microwave kettle and mini fridge a well a air conditioning the staff were friendly and helpful nothing
8,положительный отзыв отсутствует my guest food at the restaurant on the 26 th evening wa not good but the male waiter wa exceptionally apologetic he wa a credit to your team
7,very close to two tube station shop restaurant staff were friendly and let me store my bag before check in and after check out only two breakfast option that were quite expensive also no room service
7,great location nice room small room small bed but very comfy no window in room
7,it wa a great location to be able to get yo rarls court station and you have everything around you polite staff and the location
8,really great location very friendly staff and very comfortable bed отрицательный отзыв отсутствует
8,friendly helpful staff nothing too much trouble great location close to earl court tube bar close at 930 pm and arrived back at hotel at 11 and no room service available
6,lovely large room super clean very comfortable breakfast a little disappointing not a huge choice for continental so busy staff were struggling to keep up with demand
7,location excellent staff friendly отрицательный отзыв отсутствует
8,location and very clean and comfortable everything wa perfect no complaint отрицательный отзыв отсутствует
8,great location and quiet road perhaps need a little update but otherwise excellent
