Оценка,Положительный отзыв,Отрицательный отзыв
8,Convient and comfortable,Breakfast gone downhill since owned by Marriott
8,"Great location ,excellent value for money",Отрицательный отзыв отсутствует.
9,"Very helpful staff, great restaurant, fabulous shower, great and convenient location",Отрицательный отзыв отсутствует.
9,Staff were extremely helpful. The hotel was very close to Earls Court Tube station on the District and Piccadilly lines which was great for getting to all the places we wanted to visit. Breakfast was also very good with lots of choice!,Hard to find anything I didn’t like about the property.
8,"The breakfast was excellent, and the location for us was perfect","The drain in the shower wouldn’t drain away properly,
The fridge in the room was either frozen or off, there was no inbetween."
9,"Good location, polite & friendly staff & very clean","The bar area was small, not very comfortable & closed @ 10.00pm on a Friday night"
8,"Comfortable, very clean , great location as most of London easily accessible.",Отрицательный отзыв отсутствует.
9,Great location,Отрицательный отзыв отсутствует.
7,"Great location, close to tube, restaurants and amenities. Breakfast ok.","I ordered a double bed and had paid for the previous day as we were arriving off a 13 hours flight first thing in the morning. Staff spent a long time discussing things when we arrived and we were shown to a room with twin beds that had just been pushed together. Clearly our room from the day before had not been allocated. Staff tried to help but it would have been a much better experience to have pre-allocated the room I paid for.
Additionally, useful to know that the on site restaurant, you have to pay separately apart from breakfast if you prepaid for it."
9,"Location, cleanliness great reception staff","Pillows were hard and flat. 
Despite having late check out housekeeping kept interrupting our sleep."
9,"Location , comfort and clean",Отрицательный отзыв отсутствует.
7,Great location. Friendly staff. Glad we got an upper floor people complained about basement rooms.,Fridge barely cold.
8,"Location can't be beat!!! Fabulous neighborhood close to Everything.
Need a quiet room. They had back rooms that were very quiet.","The fridge didn't work. 

Breakfast was excellent. But only English breakfast provided. We prefer a lighter Continental breakfast."
9,"Location worked great for us. Earl’s Court Station was a short walk away.Got all over city on the tube. Nice restaurants in walking distance. Staff was friendly and helpful. Room was very clean, had a microwave and fridge. Would stay here again.","Can’t really think of anything, great value for the price."
9,Location was great which made it easy to get around the city. Staff were helpful and friendly. Room on was clean and tidy,"Nothing negative really other than the room was a bit small with our luggage, however still okay and not unexpected"
